# LAMMPS data file written by OVITO Pro 3.12.1

15040 atoms
4 atom types

-30.0675 33.2325 xlo xhi
-30.0675 33.2325 ylo yhi
-30.0675 33.2325 zlo zhi

Masses

1 183.84  # W
2 1.0  # Type 2
3 1.0  # Type 3
4 1.0  # Type 4

Atoms  # atomic

559 4 -28.485 18.99 -28.485
560 2 -30.0675 17.4075 -26.9025
561 2 -28.485 18.99 -25.32
562 4 -30.0675 17.4075 -23.7375
563 3 -28.485 18.99 -22.155
564 2 -30.0675 17.4075 -20.5725
565 3 -28.485 18.99 -18.99
566 4 -30.0675 17.4075 -17.4075
567 4 -28.485 18.99 -15.825
568 3 -30.0675 17.4075 -14.2425
569 2 -28.485 18.99 -12.66
570 3 -30.0675 17.4075 -11.0775
571 1 -28.485 18.99 -9.495
572 2 -30.0675 17.4075 -7.9125
573 2 -28.485 18.99 -6.33
574 2 -30.0675 17.4075 -4.7475
575 4 -28.485 18.99 -3.165
576 4 -30.0675 17.4075 -1.5825
577 1 -28.485 18.99 0.0
578 1 -30.0675 17.4075 1.5825
579 3 -28.485 18.99 3.165
580 3 -30.0675 17.4075 4.7475
581 4 -28.485 18.99 6.33
582 3 -30.0675 17.4075 7.9125
583 1 -28.485 18.99 9.495
584 3 -30.0675 17.4075 11.0775
585 4 -28.485 18.99 12.66
586 2 -30.0675 17.4075 14.2425
587 4 -28.485 18.99 15.825
588 2 -30.0675 17.4075 17.4075
589 3 -28.485 18.99 18.99
590 1 -30.0675 17.4075 20.5725
591 3 -28.485 18.99 22.155
592 1 -30.0675 17.4075 23.7375
593 4 -28.485 18.99 25.32
594 1 -30.0675 17.4075 26.9025
595 2 -28.485 18.99 28.485
596 4 -30.0675 17.4075 30.0675
597 3 -28.485 18.99 31.65
598 4 -30.0675 20.5725 -30.0675
599 1 -28.485 22.155 -28.485
600 4 -30.0675 20.5725 -26.9025
601 3 -28.485 22.155 -25.32
602 2 -30.0675 20.5725 -23.7375
603 3 -28.485 22.155 -22.155
604 1 -30.0675 20.5725 -20.5725
605 2 -28.485 22.155 -18.99
606 2 -30.0675 20.5725 -17.4075
607 1 -28.485 22.155 -15.825
608 4 -30.0675 20.5725 -14.2425
609 1 -28.485 22.155 -12.66
610 1 -30.0675 20.5725 -11.0775
611 3 -28.485 22.155 -9.495
612 3 -30.0675 20.5725 -7.9125
613 2 -28.485 22.155 -6.33
614 2 -30.0675 20.5725 -4.7475
615 1 -28.485 22.155 -3.165
616 4 -30.0675 20.5725 -1.5825
617 2 -28.485 22.155 0.0
618 3 -30.0675 20.5725 1.5825
619 3 -28.485 22.155 3.165
620 3 -30.0675 20.5725 4.7475
621 3 -28.485 22.155 6.33
622 1 -30.0675 20.5725 7.9125
623 3 -28.485 22.155 9.495
624 4 -30.0675 20.5725 11.0775
625 4 -28.485 22.155 12.66
626 1 -30.0675 20.5725 14.2425
627 3 -28.485 22.155 15.825
628 3 -30.0675 20.5725 17.4075
629 1 -28.485 22.155 18.99
630 1 -28.485 22.155 22.155
631 2 -30.0675 20.5725 23.7375
632 2 -28.485 22.155 25.32
633 1 -30.0675 20.5725 26.9025
634 4 -28.485 22.155 28.485
635 2 -28.485 22.155 31.65
